blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Kalista,Viego,Jayce,Mordekaiser,11.15,,,,
Thresh,Xin Zhao,Dr. Mundo,Gragas,11.15,,,,
Twisted Fate,Varus,Syndra,Lucian,11.15,,,,
Diana,Volibear,Xayah,Tristana,11.15,,,,
Olaf,Camille,Alistar,Braum,11.15,,,,
,,,,,FC Schalke 04,Fnatic,red_side,blue_side
Diana,Viego,Dr. Mundo,Lillia,11.15,,,,
Varus,Twisted Fate,Lee Sin,Volibear,11.15,,,,
Aphelios,Xin Zhao,Lissandra,LeBlanc,11.15,,,,
Gangplank,Camille,Tristana,Draven,11.15,,,,
Sett,Jinx,Thresh,Braum,11.15,,,,
,,,,,G2 Esports,Excel Esports,blue_side,red_side
Kalista,Xin Zhao,Jayce,Wukong,11.15,,,,
Twisted Fate,Braum,Viego,Zac,11.15,,,,
Lucian,Varus,Sylas,LeBlanc,11.15,,,,
Lee Sin,Ryze,Ziggs,Draven,11.15,,,,
Olaf,Camille,Nautilus,Leona,11.15,,,,
,,,,,Misfits Gaming,MAD Lions,red_side,blue_side
Dr. Mundo,Xin Zhao,Camille,Jax,11.15,,,,
Thresh,Lucian,Viego,Olaf,11.15,,,,
Kalista,Varus,Twisted Fate,Orianna,11.15,,,,
Renekton,Draven,Xayah,Tristana,11.15,,,,
Gangplank,Ziggs,Rakan,Leona,11.15,,,,
,,,,,Rogue,SK Gaming,blue_side,red_side
Trundle,Irelia,Renekton,Dr. Mundo,11.15,,,,
Ziggs,Lulu,Viego,Fiddlesticks,11.15,,,,
Thresh,Xin Zhao,Akali,Lucian,11.15,,,,
Galio,Ezreal,Jinx,Varus,11.15,,,,
Lee Sin,Tristana,Alistar,Nautilus,11.15,,,,
,,,,,Team Vitality,Astralis,blue_side,red_side
Lucian,Xin Zhao,Sett,Jayce,11.15,,,,
Lee Sin,Thresh,Dr. Mundo,Olaf,11.15,,,,
Varus,Viego,Cassiopeia,Sylas,11.15,,,,
Leona,Irelia,Kalista,Ashe,11.15,,,,
Nautilus,LeBlanc,Alistar,Braum,11.15,,,,
,,,,,Fnatic,MAD Lions,red_side,blue_side
Irelia,LeBlanc,Camille,Gangplank,11.15,,,,
Lucian,Twisted Fate,Viego,Trundle,11.15,,,,
Xin Zhao,Lee Sin,Orianna,Syndra,11.15,,,,
Nautilus,Ekko,Kalista,Varus,11.15,,,,
Sett,Zoe,Thresh,Alistar,11.15,,,,
,,,,,G2 Esports,FC Schalke 04,blue_side,red_side
Irelia,Kalista,Kennen,Renekton,11.15,,,,
Varus,Viego,Xin Zhao,Olaf,11.15,,,,
Diana,LeBlanc,Lucian,Akali,11.15,,,,
Ryze,Draven,Syndra,Aphelios,11.15,,,,
Zed,Ziggs,Blitzcrank,Thresh,11.15,,,,
,,,,,Rogue,Team Vitality,red_side,blue_side
Kalista,Xin Zhao,Jayce,Dr. Mundo,11.15,,,,
Lucian,Viego,Trundle,Gragas,11.15,,,,
Thresh,Lee Sin,Syndra,Azir,11.15,,,,
LeBlanc,Alistar,Tristana,Xayah,11.15,,,,
Orianna,Camille,Braum,Leona,11.15,,,,
,,,,,Misfits Gaming,SK Gaming,blue_side,red_side
LeBlanc,Trundle,Renekton,Gangplank,11.15,,,,
Diana,Xin Zhao,Volibear,Viego,11.15,,,,
Syndra,Lucian,Orianna,Twisted Fate,11.15,,,,
Camille,Aphelios,Ashe,Varus,11.15,,,,
Jayce,Lee Sin,Thresh,Braum,11.15,,,,
,,,,,Astralis,Excel Esports,red_side,blue_side
Tristana,Tahm Kench,Jayce,Gangplank,11.15,,,,
Camille,Thresh,Graves,Lee Sin,11.15,,,,
Xin Zhao,Viego,Syndra,Twisted Fate,11.15,,,,
Rakan,Alistar,Varus,Kalista,11.15,,,,
Irelia,Braum,Trundle,Leona,11.15,,,,
,,,,,MAD Lions,G2 Esports,red_side,blue_side
Kalista,Varus,Camille,Renekton,11.15,,,,
Thresh,Lee Sin,Xin Zhao,Dr. Mundo,11.15,,,,
Twisted Fate,Viego,Syndra,Akali,11.15,,,,
Volibear,Jayce,Tristana,Ezreal,11.15,,,,
Pyke,Lulu,Alistar,Morgana,11.15,,,,
,,,,,Misfits Gaming,Fnatic,blue_side,red_side
Ziggs,LeBlanc,Jayce,Kennen,11.15,,,,
Renekton,Thresh,Diana,Viego,11.15,,,,
Xin Zhao,Leona,Lucian,Syndra,11.15,,,,
Malphite,Draven,Jhin,Varus,11.15,,,,
Tahm Kench,Kalista,Alistar,Rell,11.15,,,,
,,,,,Excel Esports,Rogue,red_side,blue_side
Irelia,LeBlanc,Jayce,Renekton,11.15,,,,
Diana,Viego,Dr. Mundo,Rumble,11.15,,,,
Thresh,Xin Zhao,Orianna,Akali,11.15,,,,
Yasuo,Gangplank,Tristana,Varus,11.15,,,,
No ban,Twisted Fate,Rell,Alistar,11.15,,,,
,,,,,FC Schalke 04,Team Vitality,red_side,blue_side
Alistar,Ziggs,Mordekaiser,Kennen,11.15,,,,
Trundle,Syndra,Gwen,Viego,11.15,,,,
