blue_bans,red_bans,blue_picks,red_picks,patch,Blue Side Roster,Red Side Roster,blue_side,red_side,winner,loser
Zoe,Thresh,Gragas,Sion,11.9,xiaohu,Khan,,,,
Senna,Renekton,Udyr,Morgana,11.9,Wei,Canyon,,,,
Varus,Lee Sin,Lucian,Akali,11.9,Cryin,ShowMaker,,,,
Syndra,Orianna,Kaisa,Tristana,11.9,GALA,Ghost,,,,
Viktor,Nocturne,Nautilus,Leona,11.9,Ming,BeryL,,,,
,,,,,,,Royal Never Give Up,DWG KIA,blue_side,red_side
Thresh,Zoe,Lee Sin,Jayce,11.9,Khan,xiaohu,,,,
Lucian,Senna,Morgana,Udyr,11.9,Canyon,Wei,,,,
Varus,Renekton,Xerath,Orianna,11.9,ShowMaker,Cryin,,,,
Nautilus,Sylas,Tristana,Kaisa,11.9,Ghost,GALA,,,,
Ryze,Syndra,Leona,Rell,11.9,BeryL,Ming,,,,
,,,,,,,DWG KIA,Royal Never Give Up,blue_side,red_side
Zoe,Renekton,Gnar,Nocturne,11.9,xiaohu,Khan,,,,
Senna,Lee Sin,Udyr,Morgana,11.9,Wei,Canyon,,,,
Varus,Lucian,Ryze,Syndra,11.9,Cryin,ShowMaker,,,,
Gangplank,Nautilus,Kaisa,Jinx,11.9,GALA,Ghost,,,,
Sion,Orianna,Leona,Thresh,11.9,Ming,BeryL,,,,
,,,,,,,Royal Never Give Up,DWG KIA,blue_side,red_side
Thresh,Zoe,Aatrox,Gragas,11.9,Khan,xiaohu,,,,
Lucian,Senna,Nidalee,Udyr,11.9,Canyon,Wei,,,,
Varus,Lee Sin,Renekton,Ryze,11.9,ShowMaker,Cryin,,,,
Nautilus,Gnar,Tristana,Kaisa,11.9,Ghost,GALA,,,,
Orianna,Sylas,Rell,Leona,11.9,BeryL,Ming,,,,
,,,,,,,DWG KIA,Royal Never Give Up,blue_side,red_side
Zoe,Renekton,Gragas,Aatrox,11.9,xiaohu,Khan,,,,
Senna,Lee Sin,Udyr,Rumble,11.9,Wei,Canyon,,,,
Thresh,Lucian,Nocturne,Jayce,11.9,Cryin,ShowMaker,,,,
Sylas,Nautilus,Kaisa,Varus,11.9,GALA,Ghost,,,,
Gnar,Rell,Leona,Tahm Kench,11.9,Ming,BeryL,,,,
,,,,,,,Royal Never Give Up,DWG KIA,blue_side,red_side
Lucian,Renekton,Ornn,Jayce,11.9,Khan,Armut,,,,
Lee Sin,Senna,Rumble,Udyr,11.9,Canyon,Elyoya,,,,
Thresh,Morgana,Yone,Zoe,11.9,ShowMaker,Humanoid,,,,
Nautilus,Orianna,Varus,Kaisa,11.9,Ghost,Carzzy,,,,
Wukong,Sion,Tahm Kench,Rell,11.9,BeryL,Kaiser,,,,
,,,,,,,DWG KIA,MAD Lions,blue_side,red_side
Renekton,Lucian,Lee Sin,Gnar,11.9,Armut,Khan,,,,
Morgana,Thresh,Volibear,Udyr,11.9,Elyoya,Canyon,,,,
Varus,Senna,Sylas,Viktor,11.9,Humanoid,ShowMaker,,,,
