blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
LeBlanc,Lee Sin,Graves,Akali,12.5,,,,
Ryze,Veigar,Viego,Xin Zhao,12.5,,,,
Tryndamere,Jinx,Ahri,Syndra,12.5,,,,
Volibear,Leona,Ashe,Zeri,12.5,,,,
Hecarim,Braum,Tahm Kench,Nautilus,12.5,,,,
,,,,,FlyQuest,Evil Geniuses,red_side,blue_side
Zeri,Gnar,Kennen,Ornn,12.5,,,,
Lee Sin,Hecarim,Nocturne,Volibear,12.5,,,,
Viego,Tahm Kench,Viktor,Orianna,12.5,,,,
Ahri,Ryze,Jinx,Aphelios,12.5,,,,
LeBlanc,Corki,Nautilus,Thresh,12.5,,,,
,,,,,Golden Guardians,FlyQuest,red_side,blue_side
Rumble,Zilean,Graves,Irelia,12.5,,,,
Ryze,Hecarim,Viego,Jarvan IV,12.5,,,,
Lee Sin,Volibear,Corki,LeBlanc,12.5,,,,
Tryndamere,Ahri,Ashe,Zeri,12.5,,,,
Jayce,Syndra,Braum,Leona,12.5,,,,
,,,,,Team Liquid,TSM,blue_side,red_side
Ahri,Hecarim,Renekton,Gwen,12.5,,,,
Zeri,Gnar,Volibear,Lee Sin,12.5,,,,
Viego,Jinx,Corki,LeBlanc,12.5,,,,
Jayce,Ryze,Aphelios,Draven,12.5,,,,
Ziggs,Vex,Tahm Kench,Nautilus,12.5,,,,
,,,,,Golden Guardians,Immortals,blue_side,red_side
Gragas,Jayce,Tryndamere,Malphite,12.5,,,,
Syndra,Gnar,Lee Sin,Viego,12.5,,,,
Tahm Kench,Hecarim,LeBlanc,Vex,12.5,,,,
Zeri,Xayah,Ezreal,Miss Fortune,12.5,,,,
Jinx,Karma,Alistar,Nautilus,12.5,,,,
,,,,,Cloud9,FlyQuest,red_side,blue_side
Jayce,Hecarim,Renekton,Vayne,12.5,,,,
Lucian,Diana,Volibear,Viego,12.5,,,,
Aphelios,Jinx,LeBlanc,Ahri,12.5,,,,
Trundle,Gnar,Zeri,Kaisa,12.5,,,,
Tryndamere,Sylas,Leona,Nautilus,12.5,,,,
,,,,,Evil Geniuses,CLG,blue_side,red_side
Lee Sin,Caitlyn,Gnar,Lucian,12.5,,,,
Viego,Karma,Jarvan IV,Volibear,12.5,,,,
Zeri,Hecarim,Viktor,Ahri,12.5,,,,
Tryndamere,Tahm Kench,Jinx,Xayah,12.5,,,,
Nautilus,Rumble,Thresh,Rakan,12.5,,,,
,,,,,Dignitas,100 Thieves,blue_side,red_side
Ahri,Zeri,Gragas,Gnar,12.5,,,,
Volibear,Lee Sin,Viego,Trundle,12.5,,,,
Azir,Hecarim,Viktor,Orianna,12.5,,,,
Aatrox,Thresh,Jinx,Aphelios,12.5,,,,
Jarvan IV,Rakan,Bard,Tahm Kench,12.5,,,,
,,,,,FlyQuest,Immortals,red_side,blue_side
Twisted Fate,Ryze,Rumble,Kennen,12.5,,,,
Kaisa,Hecarim,Jarvan IV,Lee Sin,12.5,,,,
Kled,Volibear,LeBlanc,Vex,12.5,,,,
Camille,Yuumi,Zeri,Jinx,12.5,,,,
Ahri,Rakan,Soraka,Tahm Kench,12.5,,,,
,,,,,TSM,CLG,blue_side,red_side
Renata Glasc,Gnar,Graves,Malphite,12.5,,,,
Tryndamere,Jayce,Viego,Lee Sin,12.5,,,,
Jinx,Hecarim,Ahri,Twisted Fate,12.5,,,,
Xayah,Ryze,Zeri,Aphelios,12.5,,,,
Irelia,Sylas,Leona,Nautilus,12.5,,,,
,,,,,Cloud9,100 Thieves,red_side,blue_side
Diana,Nocturne,Gnar,Graves,12.5,,,,
Zeri,Tahm Kench,Hecarim,Volibear,12.5,,,,
Viego,Xin Zhao,Viktor,Ryze,12.5,,,,
