blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
LeBlanc,Kalista,Gwen,Kennen,12.14,,,,
Azir,Poppy,Xin Zhao,Jarvan IV,12.14,,,,
Vi,Olaf,Zilean,Ahri,12.14,,,,
Jax,Orianna,Sivir,Twitch,12.14,,,,
Wukong,Lissandra,Yuumi,Lulu,12.14,,,,
,,,,,Cloud9,FlyQuest,blue_side,red_side
Lucian,Ornn,Sejuani,Gwen,12.14,,,,
LeBlanc,Kalista,RekSai,Lee Sin,12.14,,,,
Poppy,Renekton,Azir,Ahri,12.14,,,,
Vi,Jarvan IV,Zeri,Sivir,12.14,,,,
Wukong,Trundle,Lulu,Yuumi,12.14,,,,
,,,,,TSM,FlyQuest,red_side,blue_side
Seraphine,Azir,Gwen,Jax,12.14,,,,
Kalista,Yuumi,Wukong,Viego,12.14,,,,
Trundle,Poppy,Ahri,Lissandra,12.14,,,,
LeBlanc,Zeri,Aphelios,Sivir,12.14,,,,
Jarvan IV,Twitch,Alistar,Lulu,12.14,,,,
,,,,,Dignitas,Golden Guardians,red_side,blue_side
Yuumi,Kalista,Aatrox,Gwen,12.14,,,,
Ahri,Trundle,Skarner,Wukong,12.14,,,,
Aphelios,Draven,Azir,Taliyah,12.14,,,,
Ornn,Olaf,Sivir,Seraphine,12.14,,,,
Fiora,Gangplank,Amumu,Senna,12.14,,,,
,,,,,Team Liquid,100 Thieves,red_side,blue_side
Kalista,Wukong,Ornn,Sejuani,12.14,,,,
Draven,Zeri,Vi,Viego,12.14,,,,
Poppy,Senna,Ahri,LeBlanc,12.14,,,,
Jarvan IV,Gwen,Sivir,Twitch,12.14,,,,
Kayle,Lee Sin,Lulu,Yuumi,12.14,,,,
,,,,,Evil Geniuses,Cloud9,blue_side,red_side
Seraphine,Yuumi,Yone,Fiora,12.14,,,,
Azir,Taliyah,Wukong,Trundle,12.14,,,,
Poppy,Kalista,Akali,Viktor,12.14,,,,
Orianna,LeBlanc,Zeri,Sivir,12.14,,,,
Ornn,Gwen,Lulu,Karma,12.14,,,,
,,,,,CLG,Immortals,blue_side,red_side
Kalista,Poppy,Jax,Sejuani,12.14,,,,
Azir,Gwen,Wukong,Vi,12.14,,,,
Ornn,Trundle,Ahri,Lissandra,12.14,,,,
Xin Zhao,Mordekaiser,Zeri,Sivir,12.14,,,,
Viego,LeBlanc,Yuumi,Lulu,12.14,,,,
,,,,,Evil Geniuses,Dignitas,blue_side,red_side
Kalista,Yuumi,Aatrox,Sejuani,12.14,,,,
Azir,Taliyah,Vi,Wukong,12.14,,,,
Poppy,Sivir,LeBlanc,Ahri,12.14,,,,
Lissandra,Lee Sin,Lucian,Aphelios,12.14,,,,
Ornn,Gwen,Nami,Lulu,12.14,,,,
,,,,,FlyQuest,Immortals,blue_side,red_side
Azir,Kalista,Gwen,Renekton,12.14,,,,
Ornn,Yuumi,Poppy,Olaf,12.14,,,,
Wukong,LeBlanc,Anivia,Taliyah,12.14,,,,
Sejuani,Orianna,Draven,Sivir,12.14,,,,
Xin Zhao,Ahri,Alistar,Braum,12.14,,,,
,,,,,Cloud9,TSM,blue_side,red_side
Yone,Nautilus,Aatrox,Ornn,12.14,,,,
Gwen,LeBlanc,Wukong,Jarvan IV,12.14,,,,
Kalista,Ahri,Seraphine,Azir,12.14,,,,
Poppy,Alistar,Aphelios,Sivir,12.14,,,,
Trundle,Sejuani,Leona,Lulu,12.14,,,,
,,,,,100 Thieves,CLG,blue_side,red_side
