blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Poppy,LeBlanc,Jax,Renekton,13.11,,,,
KSante,Sejuani,Nautilus,Maokai,13.11,,,,
Vi,Lucian,Azir,Xerath,13.11,,,,
Tristana,Wukong,Jinx,Aphelios,13.11,,,,
Syndra,Neeko,Milio,Yuumi,13.11,,,,
,,,,,SK Gaming,Fnatic,blue_side,red_side
Draven,Vi,Renekton,KSante,13.11,,,,
KogMaw,LeBlanc,Maokai,Trundle,13.11,,,,
Neeko,Lucian,Kaisa,Cassiopeia,13.11,,,,
Azir,Jayce,Zeri,Aphelios,13.11,,,,
Syndra,Tristana,Yuumi,Milio,13.11,,,,
,,,,,Team Heretics,G2 Esports,red_side,blue_side
Xayah,LeBlanc,Renekton,KSante,13.11,,,,
Sejuani,Yuumi,Vi,Viego,13.11,,,,
Maokai,Milio,Neeko,Azir,13.11,,,,
Rumble,Braum,Sivir,Aphelios,13.11,,,,
Gragas,Rakan,Lulu,Nautilus,13.11,,,,
,,,,,KOI,Astralis,blue_side,red_side
Draven,LeBlanc,Gwen,Kennen,13.11,,,,
Azir,Maokai,Viego,Sejuani,13.11,,,,
Xayah,Lucian,Ahri,KSante,13.11,,,,
Jax,Neeko,Aphelios,Tristana,13.11,,,,
Cassiopeia,Syndra,Yuumi,Milio,13.11,,,,
,,,,,Team Vitality,Excel Esports,red_side,blue_side
Xayah,Zeri,Renekton,Kennen,13.11,,,,
Yuumi,Olaf,Maokai,Vi,13.11,,,,
Milio,Darius,Azir,Gragas,13.11,,,,
Kaisa,Lulu,Aphelios,Ezreal,13.11,,,,
Neeko,Renata Glasc,Tahm Kench,Rakan,13.11,,,,
,,,,,Team BDS,MAD Lions,blue_side,red_side
Yuumi,LeBlanc,Gragas,Gnar,13.11,,,,
Xayah,Jax,Poppy,Sejuani,13.11,,,,
Vi,Maokai,Sylas,Azir,13.11,,,,
Jinx,Akali,Aphelios,Draven,13.11,,,,
Renekton,KSante,Milio,Blitzcrank,13.11,,,,
,,,,,SK Gaming,MAD Lions,blue_side,red_side
LeBlanc,Vi,Sett,Renekton,13.11,,,,
Milio,Zeri,Sejuani,Maokai,13.11,,,,
Yuumi,Olaf,Azir,Tristana,13.11,,,,
Lulu,Jax,Varus,Aphelios,13.11,,,,
KSante,Darius,Rakan,Nautilus,13.11,,,,
,,,,,Team BDS,Team Vitality,blue_side,red_side
Xayah,Draven,KSante,Olaf,13.11,,,,
Neeko,Azir,Vi,Poppy,13.11,,,,
Yuumi,Milio,LeBlanc,Ryze,13.11,,,,
Maokai,Nautilus,Varus,Aphelios,13.11,,,,
Viego,Lucian,Blitzcrank,Lulu,13.11,,,,
,,,,,Team Heretics,Fnatic,red_side,blue_side
Yuumi,Milio,KSante,Gwen,13.11,,,,
LeBlanc,Maokai,KhaZix,Jarvan IV,13.11,,,,
Vi,Draven,Neeko,Azir,13.11,,,,
Rakan,Nocturne,KogMaw,Aphelios,13.11,,,,
Lulu,Renekton,Braum,Janna,13.11,,,,
,,,,,G2 Esports,KOI,blue_side,red_side
Vi,LeBlanc,Sion,Renekton,13.11,,,,
Sejuani,Yuumi,Amumu,Maokai,13.11,,,,
Blitzcrank,Azir,Tristana,Sylas,13.11,,,,
Nautilus,Draven,Aphelios,Xayah,13.11,,,,
Rakan,Lucian,Milio,Pyke,13.11,,,,
,,,,,Excel Esports,Astralis,blue_side,red_side
Maokai,Vi,Gragas,Poppy,13.11,,,,
Draven,Rakan,RekSai,Wukong,13.11,,,,
Azir,Lucian,Annie,LeBlanc,13.11,,,,
Sion,KSante,Xayah,Aphelios,13.11,,,,
Sejuani,Renekton,Milio,Yuumi,13.11,,,,
,,,,,MAD Lions,Team Heretics,red_side,blue_side
Sejuani,LeBlanc,Gragas,Olaf,13.11,,,,
Maokai,Vi,Viego,Poppy,13.11,,,,
Zeri,Milio,Syndra,Azir,13.11,,,,
Darius,KSante,Xayah,Aphelios,13.11,,,,
Wukong,Sion,Yuumi,Blitzcrank,13.11,,,,
,,,,,Fnatic,Team BDS,blue_side,red_side
Vi,Milio,KSante,Olaf,13.11,,,,
Poppy,Tristana,Nocturne,Trundle,13.11,,,,
Maokai,Yuumi,Neeko,LeBlanc,13.11,,,,
Sejuani,Rakan,Xayah,Draven,13.11,,,,
Viego,Kaisa,Nautilus,Braum,13.11,,,,
,,,,,Excel Esports,G2 Esports,red_side,blue_side
Vi,Milio,Renekton,Gnar,13.11,,,,
Sejuani,Yuumi,Maokai,Trundle,13.11,,,,
Kennen,Xayah,Azir,LeBlanc,13.11,,,,
Poppy,Nami,Zeri,Aphelios,13.11,,,,
Jarvan IV,Nautilus,Soraka,Lulu,13.11,,,,
,,,,,Team Vitality,KOI,red_side,blue_side
LeBlanc,Sejuani,Renekton,Gragas,13.11,,,,
Yuumi,Maokai,Vi,Poppy,13.11,,,,
Milio,Xayah,Azir,Neeko,13.11,,,,
Jax,Irelia,Aphelios,Jinx,13.11,,,,
Gnar,Yasuo,Nautilus,Rakan,13.11,,,,
,,,,,Astralis,SK Gaming,blue_side,red_side
Gwen,Vi,Poppy,Renekton,13.11,,,,
Neeko,KSante,Amumu,Maokai,13.11,,,,
Yuumi,Milio,Ahri,Varus,13.11,,,,
Jayce,LeBlanc,Aphelios,Xayah,13.11,,,,
Azir,Syndra,Lulu,Rakan,13.11,,,,
,,,,,Fnatic,Team Vitality,blue_side,red_side
Vi,Azir,KSante,Jax,13.11,,,,
LeBlanc,Neeko,Gragas,Sejuani,13.11,,,,
Xayah,Maokai,Tristana,Akali,13.11,,,,
Renekton,Jarvan IV,Aphelios,Jinx,13.11,,,,
Syndra,Poppy,Yuumi,Milio,13.11,,,,
,,,,,KOI,SK Gaming,red_side,blue_side
Sejuani,Draven,Gnar,KSante,13.11,,,,
Vi,LeBlanc,Maokai,Viego,13.11,,,,
Blitzcrank,Milio,Azir,Neeko,13.11,,,,
Gragas,Jayce,KogMaw,Zeri,13.11,,,,
Akali,Renekton,Braum,Yuumi,13.11,,,,
,,,,,G2 Esports,Astralis,blue_side,red_side
Milio,Vi,KSante,Sion,13.11,,,,
Maokai,Neeko,Wukong,Poppy,13.11,,,,
Xayah,Yuumi,Twisted Fate,Azir,13.11,,,,
Nautilus,Annie,Jinx,Draven,13.11,,,,
Malphite,Gragas,Rakan,Leona,13.11,,,,
,,,,,MAD Lions,Excel Esports,red_side,blue_side
Draven,Vi,Renekton,KSante,13.11,,,,
Azir,Maokai,Sejuani,Viego,13.11,,,,
LeBlanc,Zeri,Syndra,Neeko,13.11,,,,
Wukong,Xayah,Jinx,Aphelios,13.11,,,,
Nocturne,KogMaw,Milio,Yuumi,13.11,,,,
,,,,,Team BDS,Team Heretics,red_side,blue_side
Zeri,Gragas,Jayce,KSante,13.11,,,,
LeBlanc,Vi,Sejuani,Maokai,13.11,,,,
Malphite,Lucian,Neeko,Orianna,13.11,,,,
Ahri,Nocturne,Aphelios,Xayah,13.11,,,,
Syndra,Wukong,Yuumi,Milio,13.11,,,,
,,,,,MAD Lions,Fnatic,red_side,blue_side
Vi,LeBlanc,KSante,Gwen,13.11,,,,
Yuumi,Milio,Maokai,Sejuani,13.11,,,,
Rakan,Neeko,Syndra,Azir,13.11,,,,
Malphite,Jayce,KogMaw,Aphelios,13.11,,,,
Renekton,Tristana,Braum,Lulu,13.11,,,,
,,,,,G2 Esports,SK Gaming,blue_side,red_side
Xayah,Vi,KSante,Gwen,13.11,,,,
Yuumi,Milio,Maokai,Sejuani,13.11,,,,
Neeko,Poppy,Cassiopeia,Tristana,13.11,,,,
Renekton,Jayce,Aphelios,Zeri,13.11,,,,
Azir,Syndra,Nautilus,Lulu,13.11,,,,
,,,,,Team Heretics,KOI,red_side,blue_side
LeBlanc,Sejuani,Gragas,KSante,13.11,,,,
Yuumi,Vi,Viego,Nocturne,13.11,,,,
Milio,Maokai,Yasuo,Neeko,13.11,,,,
Poppy,Renekton,Xayah,Zeri,13.11,,,,
Wukong,Irelia,Rakan,Lulu,13.11,,,,
,,,,,Astralis,Team Vitality,blue_side,red_side
Vi,Neeko,Sion,KSante,13.11,,,,
Zeri,Draven,Maokai,Sejuani,13.11,,,,
Yuumi,Milio,Azir,Cassiopeia,13.11,,,,
Olaf,Rakan,Xayah,Aphelios,13.11,,,,
Darius,Gnar,Nautilus,Lulu,13.11,,,,
,,,,,Excel Esports,Team BDS,blue_side,red_side
Milio,Sejuani,Sion,Poppy,13.11,,,,
LeBlanc,Neeko,Vi,Wukong,13.11,,,,
Yuumi,Lucian,Akali,Gragas,13.11,,,,
KSante,Renekton,Kaisa,Xayah,13.11,,,,
Annie,Gwen,Nautilus,Rakan,13.11,,,,
,,,,,Astralis,MAD Lions,red_side,blue_side
Draven,Yuumi,Gragas,Sion,13.11,,,,
Maokai,Vi,Poppy,Trundle,13.11,,,,
