blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Draven,Rumble,Jax,KSante,14.1,,,,
Varus,Kalista,Xin Zhao,Lillia,14.1,,,,
Neeko,Senna,Azir,LeBlanc,14.1,,,,
Maokai,Sejuani,Xayah,Aphelios,14.1,,,,
Belveth,Corki,Rakan,Renata Glasc,14.1,,,,
,,,,,SK Gaming,G2 Esports,red_side,blue_side
Draven,KSante,Rumble,Udyr,14.1,,,,
Akali,Neeko,Vi,Jarvan IV,14.1,,,,
Seraphine,Lucian,Corki,Azir,14.1,,,,
Poppy,LeBlanc,Kalista,Varus,14.1,,,,
Xin Zhao,Tristana,Blitzcrank,Nautilus,14.1,,,,
,,,,,Fnatic,Team Heretics,blue_side,red_side
Senna,Varus,Renekton,Olaf,14.1,,,,
Xayah,Blitzcrank,Vi,Maokai,14.1,,,,
Rumble,Xin Zhao,Neeko,Azir,14.1,,,,
Pyke,KSante,Ashe,Kalista,14.1,,,,
Jayce,Orianna,Renata Glasc,Bard,14.1,,,,
,,,,,Team BDS,Karmine Corp,red_side,blue_side
Varus,Rumble,Gnar,Jayce,14.1,,,,
Kalista,Senna,Maokai,Rell,14.1,,,,
Corki,Xin Zhao,Azir,LeBlanc,14.1,,,,
Xayah,Milio,Ashe,Zeri,14.1,,,,
Vi,Nautilus,Alistar,Rakan,14.1,,,,
,,,,,GIANTX,Rogue,blue_side,red_side
Neeko,Senna,KSante,Gnar,14.1,,,,
Aphelios,Kalista,Brand,Xin Zhao,14.1,,,,
Ivern,Maokai,Orianna,Azir,14.1,,,,
Gwen,Rell,Varus,Xayah,14.1,,,,
Rakan,Nocturne,Pyke,Blitzcrank,14.1,,,,
,,,,,Team Vitality,MAD Lions KOI,red_side,blue_side
Vi,Senna,KSante,Garen,14.1,,,,
Varus,LeBlanc,Jarvan IV,Xin Zhao,14.1,,,,
Poppy,Gnar,Corki,Orianna,14.1,,,,
Olaf,Maokai,Kalista,Ashe,14.1,,,,
Darius,Rell,Blitzcrank,Alistar,14.1,,,,
,,,,,Rogue,Team BDS,red_side,blue_side
Jax,Lucian,Rumble,Aatrox,14.1,,,,
Draven,Kalista,Xin Zhao,Rell,14.1,,,,
Maokai,Senna,Neeko,Corki,14.1,,,,
Orianna,Graves,Xayah,Varus,14.1,,,,
KSante,Vi,Rakan,Nautilus,14.1,,,,
,,,,,Karmine Corp,SK Gaming,blue_side,red_side
Draven,Senna,Jax,Vladimir,14.1,,,,
Neeko,Rumble,Vi,Xin Zhao,14.1,,,,
Ashe,Kalista,Corki,Akali,14.1,,,,
Orianna,KSante,Lucian,Varus,14.1,,,,
Poppy,Aatrox,Milio,Nautilus,14.1,,,,
,,,,,Fnatic,G2 Esports,red_side,blue_side
Renata Glasc,Senna,Rumble,Fiddlesticks,14.1,,,,
Varus,Kalista,Xin Zhao,Nocturne,14.1,,,,
Milio,Xayah,LeBlanc,Neeko,14.1,,,,
Aphelios,Blitzcrank,Nilah,Kaisa,14.1,,,,
Lucian,Draven,Alistar,Rakan,14.1,,,,
,,,,,GIANTX,MAD Lions KOI,blue_side,red_side
KSante,Senna,Udyr,Gnar,14.1,,,,
Maokai,Ashe,Lee Sin,Rell,14.1,,,,
LeBlanc,Poppy,Akali,Kaisa,14.1,,,,
Jax,Xin Zhao,Kalista,Varus,14.1,,,,
Rumble,Jarvan IV,Hwei,Renata Glasc,14.1,,,,
,,,,,Team Heretics,Team Vitality,red_side,blue_side
Xayah,Seraphine,Gnar,KSante,14.1,,,,
Rumble,Varus,Rell,Brand,14.1,,,,
Renata Glasc,Kalista,Corki,Akali,14.1,,,,
Tristana,Aatrox,Senna,Miss Fortune,14.1,,,,
Azir,Gwen,Nautilus,Maokai,14.1,,,,
,,,,,Rogue,Karmine Corp,blue_side,red_side
Senna,Draven,KSante,Gwen,14.1,,,,
Rumble,Renata Glasc,Maokai,Sejuani,14.1,,,,
Blitzcrank,Corki,LeBlanc,Azir,14.1,,,,
Vi,Nautilus,Kalista,Xayah,14.1,,,,
Gnar,Lissandra,Neeko,Rakan,14.1,,,,
,,,,,G2 Esports,GIANTX,blue_side,red_side
Kalista,Rumble,Varus,KSante,14.1,,,,
Xin Zhao,Senna,Ivern,Vi,14.1,,,,
Blitzcrank,Milio,Azir,Corki,14.1,,,,
Jax,Ashe,Xayah,Aphelios,14.1,,,,
Yone,Renata Glasc,Rakan,Rell,14.1,,,,
,,,,,MAD Lions KOI,Fnatic,blue_side,red_side
Draven,Ashe,KSante,Rumble,14.1,,,,
Seraphine,Blitzcrank,Vi,Trundle,14.1,,,,
Senna,Neeko,Azir,Tristana,14.1,,,,
Maokai,Olaf,Jhin,Varus,14.1,,,,
Renata Glasc,Karma,Rell,Nautilus,14.1,,,,
,,,,,Team BDS,Team Heretics,blue_side,red_side
KSante,Jax,Renekton,Aatrox,14.1,,,,
Senna,Kalista,Maokai,Vi,14.1,,,,
Rell,Rumble,Orianna,Corki,14.1,,,,
Ahri,Azir,Lucian,Aphelios,14.1,,,,
Akali,Tristana,Nami,Milio,14.1,,,,
,,,,,SK Gaming,Team Vitality,blue_side,red_side
Caitlyn,Seraphine,KSante,Sion,14.1,,,,
Kalista,Varus,Jarvan IV,Lillia,14.1,,,,
Lucian,Akali,Azir,Corki,14.1,,,,
Renata Glasc,Blitzcrank,Draven,Aphelios,14.1,,,,
Braum,Vi,Milio,Lulu,14.1,,,,
,,,,,Team Heretics,Karmine Corp,blue_side,red_side
Draven,Rumble,KSante,Yone,14.1,,,,
Neeko,Akali,Maokai,Vi,14.1,,,,
Kalista,Varus,Corki,Tristana,14.1,,,,
Gwen,Jarvan IV,Nilah,Seraphine,14.1,,,,
Olaf,Rell,Senna,Sona,14.1,,,,
,,,,,Team Vitality,G2 Esports,blue_side,red_side
Senna,Rumble,KSante,Aatrox,14.1,,,,
Seraphine,Kalista,Viego,Vi,14.1,,,,
Xin Zhao,Varus,Akali,Twisted Fate,14.1,,,,
Azir,Rell,Aphelios,Lucian,14.1,,,,
Corki,Nocturne,Blitzcrank,Milio,14.1,,,,
,,,,,MAD Lions KOI,Rogue,blue_side,red_side
Neeko,Orianna,KSante,Udyr,14.1,,,,
Seraphine,Rumble,Xin Zhao,Maokai,14.1,,,,
Draven,Vi,Hwei,Tristana,14.1,,,,
Blitzcrank,Akali,Kalista,Varus,14.1,,,,
Gwen,Sylas,Renata Glasc,Ashe,14.1,,,,
,,,,,Fnatic,GIANTX,blue_side,red_side
Vi,Jax,Rumble,KSante,14.1,,,,
Ashe,Draven,Rell,Xin Zhao,14.1,,,,
Senna,Kalista,Tristana,Neeko,14.1,,,,
Darius,Sion,Lucian,Varus,14.1,,,,
Olaf,Azir,Milio,Blitzcrank,14.1,,,,
,,,,,SK Gaming,Team BDS,red_side,blue_side
Akali,Senna,Rumble,KSante,14.1,,,,
Renata Glasc,Kalista,Lillia,Maokai,14.1,,,,
Draven,Ashe,Tristana,Ahri,14.1,,,,
Udyr,Graves,Varus,Xayah,14.1,,,,
Orianna,Lee Sin,Rell,Rakan,14.1,,,,
,,,,,Karmine Corp,Team Vitality,red_side,blue_side
Jax,Rumble,Kennen,Renekton,14.1,,,,
Akali,Xin Zhao,Rell,Maokai,14.1,,,,
Varus,Senna,Yone,Azir,14.1,,,,
Malphite,Sylas,Draven,Kalista,14.1,,,,
Tristana,Neeko,Blitzcrank,Alistar,14.1,,,,
,,,,,GIANTX,SK Gaming,red_side,blue_side
Senna,Draven,KSante,Poppy,14.1,,,,
Akali,Kalista,Lillia,Xin Zhao,14.1,,,,
Seraphine,Ashe,Tristana,Azir,14.1,,,,
Gwen,Lucian,Varus,Jhin,14.1,,,,
Rumble,Corki,Nautilus,Braum,14.1,,,,
,,,,,G2 Esports,Team Heretics,blue_side,red_side
